$,_ft,settlementdate,v#
NSW1,Black Coal,2016-09-28 15:30:00,5680.10693
NSW1,Black Coal,2016-09-28 15:35:00,5691.10927
NSW1,Black Coal,2016-09-28 15:40:00,5726.3491300000005
NSW1,Black Coal,2016-09-28 15:45:00,5700.1328300000005
NSW1,Black Coal,2016-09-28 15:50:00,5788.46473
NSW1,Black Coal,2016-09-28 15:55:00,5847.04492
NSW1,Black Coal,2016-09-28 16:00:00,5947.882079999999
NSW1,Black Coal,2016-09-28 16:05:00,5993.854649999999
NSW1,Black Coal,2016-09-28 16:10:00,6005.657880000001
NSW1,Black Coal,2016-09-28 16:15:00,6037.469230000001
NSW1,Black Coal,2016-09-28 16:20:00,6034.148139999999
NSW1,Black Coal,2016-09-28 16:25:00,5957.443380000001
NSW1,Black Coal,2016-09-28 16:30:00,5800.87182
NSW1,Black Coal,2016-09-28 16:35:00,5930.63292
NSW1,Black Coal,2016-09-28 16:40:00,6093.971560000001
NSW1,Black Coal,2016-09-28 16:45:00,5993.74146
NSW1,Black Coal,2016-09-28 16:50:00,6069.78614
NSW1,Black Coal,2016-09-28 16:55:00,6230.80957
NSW1,Black Coal,2016-09-28 17:00:00,6356.206899999999
NSW1,Gas,2016-09-28 15:00:00,295.01471
NSW1,Gas,2016-09-28 15:05:00,296.37619
NSW1,Gas,2016-09-28 15:10:00,295.67288
NSW1,Gas,2016-09-28 15:15:00,294.55762
NSW1,Gas,2016-09-28 15:20:00,296.63491999999997
NSW1,Gas,2016-09-28 15:25:00,295.4669
NSW1,Gas,2016-09-28 15:30:00,294.56387
NSW1,Gas,2016-09-28 15:35:00,295.84364
NSW1,Gas,2016-09-28 15:40:00,295.78461
NSW1,Gas,2016-09-28 15:45:00,295.37392
NSW1,Gas,2016-09-28 15:50:00,297.34474
NSW1,Gas,2016-09-28 15:55:00,293.9155
NSW1,Gas,2016-09-28 16:00:00,320.39373
NSW1,Gas,2016-09-28 16:05:00,297.52464
NSW1,Gas,2016-09-28 16:10:00,296.22697
NSW1,Gas,2016-09-28 16:15:00,294.13404
NSW1,Gas,2016-09-28 16:20:00,294.24456
NSW1,Gas,2016-09-28 16:25:00,296.92654
NSW1,Gas,2016-09-28 16:30:00,294.35634
NSW1,Gas,2016-09-28 16:35:00,316.78615
NSW1,Gas,2016-09-28 16:40:00,341.43798
NSW1,Gas,2016-09-28 16:45:00,322.71680000000003
NSW1,Gas,2016-09-28 16:50:00,340.1642
NSW1,Gas,2016-09-28 16:55:00,365.93808
NSW1,Gas,2016-09-28 17:00:00,423.85052
NSW1,Hydro,2016-09-28 15:00:00,80.63732999999999
NSW1,Hydro,2016-09-28 15:05:00,78.69866
NSW1,Hydro,2016-09-28 15:10:00,80.28565
NSW1,Hydro,2016-09-28 15:15:00,80.04259
NSW1,Hydro,2016-09-28 15:20:00,79.94126
NSW1,Hydro,2016-09-28 15:25:00,80.4657
NSW1,Hydro,2016-09-28 15:30:00,79.87276
NSW1,Hydro,2016-09-28 15:35:00,79.67299
NSW1,Hydro,2016-09-28 15:40:00,80.673
NSW1,Hydro,2016-09-28 15:45:00,79.39684
NSW1,Hydro,2016-09-28 15:50:00,80.06255
NSW1,Hydro,2016-09-28 15:55:00,80.4919
NSW1,Hydro,2016-09-28 16:00:00,79.90696
NSW1,Hydro,2016-09-28 16:05:00,79.22044
NSW1,Hydro,2016-09-28 16:10:00,80.00609
NSW1,Hydro,2016-09-28 16:15:00,79.6517
NSW1,Hydro,2016-09-28 16:20:00,78.95538
NSW1,Hydro,2016-09-28 16:25:00,79.66534
NSW1,Hydro,2016-09-28 16:30:00,80.00139999999999
NSW1,Hydro,2016-09-28 16:35:00,79.34855999999999
NSW1,Hydro,2016-09-28 16:40:00,80.51060000000001
NSW1,Hydro,2016-09-28 16:45:00,79.45175
NSW1,Hydro,2016-09-28 16:50:00,80.83783
NSW1,Hydro,2016-09-28 16:55:00,80.09431000000001
NSW1,Hydro,2016-09-28 17:00:00,79.3084
NSW1,Hydro Storage,2016-09-28 15:00:00,187.1954
NSW1,Hydro Storage,2016-09-28 15:05:00,175.46756
NSW1,Hydro Storage,2016-09-28 15:10:00,179.2338
NSW1,Hydro Storage,2016-09-28 15:15:00,180.62225
NSW1,Hydro Storage,2016-09-28 15:20:00,178.63962
NSW1,Hydro Storage,2016-09-28 15:25:00,236.29225
NSW1,Hydro Storage,2016-09-28 15:30:00,249.50328
NSW1,Hydro Storage,2016-09-28 15:35:00,245.15544
NSW1,Hydro Storage,2016-09-28 15:40:00,249.98297
NSW1,Hydro Storage,2016-09-28 15:45:00,248.16922
NSW1,Hydro Storage,2016-09-28 15:50:00,244.61015
NSW1,Hydro Storage,2016-09-28 15:55:00,333.04987
NSW1,Hydro Storage,2016-09-28 16:00:00,357.75543
NSW1,Hydro Storage,2016-09-28 16:05:00,243.30576
NSW1,Hydro Storage,2016-09-28 16:10:00,248.48242
NSW1,Hydro Storage,2016-09-28 16:15:00,242.94614
NSW1,Hydro Storage,2016-09-28 16:20:00,242.13065
NSW1,Hydro Storage,2016-09-28 16:25:00,248.41284
NSW1,Hydro Storage,2016-09-28 16:30:00,362.80646
NSW1,Hydro Storage,2016-09-28 16:35:00,361.82727
NSW1,Hydro Storage,2016-09-28 16:40:00,363.4736
NSW1,Hydro Storage,2016-09-28 16:45:00,828.68982
NSW1,Hydro Storage,2016-09-28 16:50:00,756.42126
NSW1,Hydro Storage,2016-09-28 16:55:00,562.55688
NSW1,Hydro Storage,2016-09-28 17:00:00,564.26978
NSW1,Liquid Fuel,2016-09-28 15:00:00,-0.002373
NSW1,Liquid Fuel,2016-09-28 15:05:00,-0.002373
NSW1,Liquid Fuel,2016-09-28 15:10:00,-0.002373
NSW1,Liquid Fuel,2016-09-28 15:15:00,-0.002373
NSW1,Liquid Fuel,2016-09-28 15:20:00,-0.002373
NSW1,Liquid Fuel,2016-09-28 15:25:00,-0.000198
NSW1,Liquid Fuel,2016-09-28 15:30:00,-0.000198
NSW1,Liquid Fuel,2016-09-28 15:35:00,-0.000198
NSW1,Liquid Fuel,2016-09-28 15:40:00,-0.000198
NSW1,Liquid Fuel,2016-09-28 15:45:00,-0.000198
NSW1,Liquid Fuel,2016-09-28 15:50:00,-0.000198
NSW1,Liquid Fuel,2016-09-28 15:55:00,-0.000198
NSW1,Liquid Fuel,2016-09-28 16:00:00,-0.000198
NSW1,Liquid Fuel,2016-09-28 16:05:00,-0.000198
NSW1,Liquid Fuel,2016-09-28 16:10:00,-0.001045
NSW1,Liquid Fuel,2016-09-28 16:15:00,-0.001045
NSW1,Liquid Fuel,2016-09-28 16:20:00,-0.001045
NSW1,Liquid Fuel,2016-09-28 16:25:00,-0.001045
NSW1,Liquid Fuel,2016-09-28 16:30:00,-0.001045
NSW1,Liquid Fuel,2016-09-28 16:35:00,-0.001045
NSW1,Liquid Fuel,2016-09-28 16:40:00,-0.001045
NSW1,Liquid Fuel,2016-09-28 16:45:00,-0.001045
NSW1,Liquid Fuel,2016-09-28 16:50:00,-0.001045
NSW1,Liquid Fuel,2016-09-28 16:55:00,-0.00103
NSW1,Liquid Fuel,2016-09-28 17:00:00,-0.00103
NSW1,Solar,2016-09-28 15:00:00,164.179893
NSW1,Solar,2016-09-28 15:05:00,166.262193
NSW1,Solar,2016-09-28 15:10:00,160.438043
NSW1,Solar,2016-09-28 15:15:00,155.74443399999998
NSW1,Solar,2016-09-28 15:20:00,153.685854
NSW1,Solar,2016-09-28 15:25:00,152.776783
NSW1,Solar,2016-09-28 15:30:00,127.27023399999999
NSW1,Solar,2016-09-28 15:35:00,145.78100400000002
NSW1,Solar,2016-09-28 15:40:00,133.936314
NSW1,Solar,2016-09-28 15:45:00,126.915004
NSW1,Solar,2016-09-28 15:50:00,130.73522400000002
NSW1,Solar,2016-09-28 15:55:00,127.144304
NSW1,Solar,2016-09-28 16:00:00,116.689183
NSW1,Solar,2016-09-28 16:05:00,122.27936399999999
NSW1,Solar,2016-09-28 16:10:00,102.041933
NSW1,Solar,2016-09-28 16:15:00,115.971043
NSW1,Solar,2016-09-28 16:20:00,106.02548300000001
NSW1,Solar,2016-09-28 16:25:00,66.88065300000001
NSW1,Solar,2016-09-28 16:30:00,104.857123
NSW1,Solar,2016-09-28 16:35:00,73.711653
NSW1,Solar,2016-09-28 16:40:00,57.063022999999994
NSW1,Solar,2016-09-28 16:45:00,55.586513
NSW1,Solar,2016-09-28 16:50:00,56.933693000000005
NSW1,Solar,2016-09-28 16:55:00,47.866193
NSW1,Solar,2016-09-28 17:00:00,44.928613000000006
NSW1,Wind,2016-09-28 15:00:00,15.75768
NSW1,Wind,2016-09-28 15:05:00,13.83831
NSW1,Wind,2016-09-28 15:10:00,16.35054
NSW1,Wind,2016-09-28 15:15:00,13.72281
NSW1,Wind,2016-09-28 15:20:00,14.93761
NSW1,Wind,2016-09-28 15:25:00,19.011249999999997
NSW1,Wind,2016-09-28 15:30:00,22.551569999999998
NSW1,Wind,2016-09-28 15:35:00,29.76005
NSW1,Wind,2016-09-28 15:40:00,49.246469999999995
NSW1,Wind,2016-09-28 15:45:00,67.18867999999999
NSW1,Wind,2016-09-28 15:50:00,72.98583
NSW1,Wind,2016-09-28 15:55:00,84.86120999999999
NSW1,Wind,2016-09-28 16:00:00,86.61331999999999
NSW1,Wind,2016-09-28 16:05:00,91.81565
NSW1,Wind,2016-09-28 16:10:00,88.14452000000001
NSW1,Wind,2016-09-28 16:15:00,97.26419000000001
NSW1,Wind,2016-09-28 16:20:00,97.68063000000001
NSW1,Wind,2016-09-28 16:25:00,94.38092999999999
NSW1,Wind,2016-09-28 16:30:00,116.54444000000001
NSW1,Wind,2016-09-28 16:35:00,116.04347
NSW1,Wind,2016-09-28 16:40:00,111.80471
NSW1,Wind,2016-09-28 16:45:00,107.91287999999999
NSW1,Wind,2016-09-28 16:50:00,111.44907
NSW1,Wind,2016-09-28 16:55:00,120.13326
NSW1,Wind,2016-09-28 17:00:00,125.68743999999998
NSW1,Rooftop PV,2016-09-28 15:00:00,558.34
NSW1,Rooftop PV,2016-09-28 15:05:00,542.654333333
NSW1,Rooftop PV,2016-09-28 15:10:00,526.968666667
NSW1,Rooftop PV,2016-09-28 15:15:00,511.283
NSW1,Rooftop PV,2016-09-28 15:20:00,495.597333333
NSW1,Rooftop PV,2016-09-28 15:25:00,479.911666667
NSW1,Rooftop PV,2016-09-28 15:30:00,464.226
NSW1,Rooftop PV,2016-09-28 15:35:00,447.105666667
NSW1,Rooftop PV,2016-09-28 15:40:00,429.985333333
NSW1,Rooftop PV,2016-09-28 15:45:00,412.865
NSW1,Rooftop PV,2016-09-28 15:50:00,395.744666667
NSW1,Rooftop PV,2016-09-28 15:55:00,378.624333333
NSW1,Rooftop PV,2016-09-28 16:00:00,361.504
NSW1,Rooftop PV,2016-09-28 16:05:00,343.258833333
NSW1,Rooftop PV,2016-09-28 16:10:00,325.013666667
NSW1,Rooftop PV,2016-09-28 16:15:00,306.7685
NSW1,Rooftop PV,2016-09-28 16:20:00,288.523333333
NSW1,Rooftop PV,2016-09-28 16:25:00,270.278166667
NSW1,Rooftop PV,2016-09-28 16:30:00,252.033
NSW1,Rooftop PV,2016-09-28 16:35:00,234.884333333
NSW1,Rooftop PV,2016-09-28 16:40:00,217.735666667
NSW1,Rooftop PV,2016-09-28 16:45:00,200.587
NSW1,Rooftop PV,2016-09-28 16:50:00,183.438333333
NSW1,Rooftop PV,2016-09-28 16:55:00,166.289666667
NSW1,Rooftop PV,2016-09-28 17:00:00,149.141
VIC1,Gas,2016-09-28 15:00:00,0.30000000000000004
VIC1,Gas,2016-09-28 15:05:00,0.30000000000000004
VIC1,Gas,2016-09-28 15:10:00,0.30000000000000004
VIC1,Gas,2016-09-28 15:15:00,0.30000000000000004
VIC1,Gas,2016-09-28 15:20:00,0.30000000000000004
VIC1,Gas,2016-09-28 15:25:00,0.30000000000000004
VIC1,Gas,2016-09-28 15:30:00,0.30000000000000004
VIC1,Gas,2016-09-28 15:35:00,0.30000000000000004
VIC1,Gas,2016-09-28 15:40:00,0.26
VIC1,Gas,2016-09-28 15:45:00,0.060000000000000026
VIC1,Gas,2016-09-28 15:50:00,0.34
VIC1,Gas,2016-09-28 15:55:00,2.16
VIC1,Gas,2016-09-28 16:00:00,14.579999999999998
VIC1,Gas,2016-09-28 16:05:00,20.220000000000002
VIC1,Gas,2016-09-28 16:10:00,20.7
VIC1,Gas,2016-09-28 16:15:00,20.16
VIC1,Gas,2016-09-28 16:20:00,20.220000000000002
VIC1,Gas,2016-09-28 16:25:00,18.48
VIC1,Gas,2016-09-28 16:30:00,20.46
VIC1,Gas,2016-09-28 16:35:00,20.52
VIC1,Gas,2016-09-28 16:40:00,20.28
VIC1,Gas,2016-09-28 16:45:00,20.220000000000002
VIC1,Gas,2016-09-28 16:50:00,20.88
VIC1,Gas,2016-09-28 16:55:00,20.220000000000002
VIC1,Gas,2016-09-28 17:00:00,20.380000000000003
VIC1,Hydro,2016-09-28 15:00:00,600.38519
VIC1,Hydro,2016-09-28 15:05:00,564.687019
VIC1,Hydro,2016-09-28 15:10:00,602.3057890000001
VIC1,Hydro,2016-09-28 15:15:00,607.14569
VIC1,Hydro,2016-09-28 15:20:00,573.45545
VIC1,Hydro,2016-09-28 15:25:00,589.74866
VIC1,Hydro,2016-09-28 15:30:00,592.4012299999999
VIC1,Hydro,2016-09-28 15:35:00,584.76639
VIC1,Hydro,2016-09-28 15:40:00,638.07988
VIC1,Hydro,2016-09-28 15:45:00,628.4766689999999
VIC1,Hydro,2016-09-28 15:50:00,627.847249
VIC1,Hydro,2016-09-28 15:55:00,631.082769
VIC1,Hydro,2016-09-28 16:00:00,616.20796
VIC1,Hydro,2016-09-28 16:05:00,618.19778
VIC1,Hydro,2016-09-28 16:10:00,646.3485499999999
VIC1,Hydro,2016-09-28 16:15:00,647.09583
VIC1,Hydro,2016-09-28 16:20:00,635.16076
VIC1,Hydro,2016-09-28 16:25:00,617.02002
VIC1,Hydro,2016-09-28 16:30:00,646.488709
VIC1,Hydro,2016-09-28 16:35:00,638.3625999999999
VIC1,Hydro,2016-09-28 16:40:00,672.3566999999999
VIC1,Hydro,2016-09-28 16:45:00,504.60466999999994
VIC1,Hydro,2016-09-28 16:50:00,371.9121
VIC1,Hydro,2016-09-28 16:55:00,221.037869
VIC1,Hydro,2016-09-28 17:00:00,108.15607
VIC1,Wind,2016-09-28 15:00:00,954.6779889999999
VIC1,Wind,2016-09-28 15:05:00,959.9689800000002
VIC1,Wind,2016-09-28 15:10:00,957.104986
VIC1,Wind,2016-09-28 15:15:00,980.5459890000002
VIC1,Wind,2016-09-28 15:20:00,1002.0510180000001
VIC1,Wind,2016-09-28 15:25:00,991.3570010000001
VIC1,Wind,2016-09-28 15:30:00,995.8060049999998
VIC1,Wind,2016-09-28 15:35:00,965.0660080000001
VIC1,Wind,2016-09-28 15:40:00,956.983996
VIC1,Wind,2016-09-28 15:45:00,955.7490199999999
VIC1,Wind,2016-09-28 15:50:00,941.8939799999999
VIC1,Wind,2016-09-28 15:55:00,967.563002
VIC1,Wind,2016-09-28 16:00:00,997.2580090000001
VIC1,Wind,2016-09-28 16:05:00,1007.565006
VIC1,Wind,2016-09-28 16:10:00,1001.7419839999999
VIC1,Wind,2016-09-28 16:15:00,1010.750029
VIC1,Wind,2016-09-28 16:20:00,1032.026989
VIC1,Wind,2016-09-28 16:25:00,1025.999983
VIC1,Wind,2016-09-28 16:30:00,1064.2050140000001
VIC1,Wind,2016-09-28 16:35:00,1015.741005
VIC1,Wind,2016-09-28 16:40:00,1032.3049979999998
VIC1,Wind,2016-09-28 16:45:00,1020.2340130000001
VIC1,Wind,2016-09-28 16:50:00,1007.3290069999999
VIC1,Wind,2016-09-28 16:55:00,1005.362012
VIC1,Wind,2016-09-28 17:00:00,999.9239819999999
VIC1,Brown Coal,2016-09-28 15:00:00,5557.25443
VIC1,Brown Coal,2016-09-28 15:05:00,5550.36588
VIC1,Brown Coal,2016-09-28 15:10:00,5538.65442
VIC1,Brown Coal,2016-09-28 15:15:00,5560.67975
VIC1,Brown Coal,2016-09-28 15:20:00,5515.636689999999
VIC1,Brown Coal,2016-09-28 15:25:00,5541.416470000001
VIC1,Brown Coal,2016-09-28 15:30:00,5563.3076200000005
VIC1,Brown Coal,2016-09-28 15:35:00,5557.722780000001
VIC1,Brown Coal,2016-09-28 15:40:00,5561.505090000001
VIC1,Brown Coal,2016-09-28 15:45:00,5559.455730000001
VIC1,Brown Coal,2016-09-28 15:50:00,5569.38864
VIC1,Brown Coal,2016-09-28 15:55:00,5604.64426
VIC1,Brown Coal,2016-09-28 16:00:00,5573.856970000001
VIC1,Brown Coal,2016-09-28 16:05:00,5551.98228
VIC1,Brown Coal,2016-09-28 16:10:00,5587.491120000001
VIC1,Brown Coal,2016-09-28 16:15:00,5599.75321
VIC1,Brown Coal,2016-09-28 16:20:00,5585.07599
VIC1,Brown Coal,2016-09-28 16:25:00,5446.91904
VIC1,Brown Coal,2016-09-28 16:30:00,5458.005040000001
VIC1,Brown Coal,2016-09-28 16:35:00,5295.5721699999995
VIC1,Brown Coal,2016-09-28 16:40:00,5126.35318
